Location,Filter number,Trial,pH,ORP,LDO,Date Spectrometry Performed,Sample Date,extract volume (L),sample volume (L),Dilution Factor,Abs 664 nm,Abs 647 nm,Abs 630 nm,abs 750,abs 664-750,abs 647-750,abs 630-750,Concentration (ug/L) Ca,,concetration (mg/L) Cb,Concetration (mg/L) C,Concentration (ug/L) Ca (not corrected by Cham),,,Ca,Cb,Cc,,,,,,,
Lake Alice,1,1,7.49,263.6,5.51,17-Oct,18-Jun,0.003,1,1,0.014,0.007,0.005,0.002,0.012,0.005,0.003,132,,0.03201,0.01552,151,,,0.3963,0.00009603,0.00004656,,,3.166226,2.22921,3.19856,2.33,
Lake Alice,1,2,7.49,263.6,5.51,17-Oct,18-Jun,0.003,1,1,0.014,0.005,0.003,0.000,0.014,0.005,0.003,156,,0.02115,0.01218,156,,,0.4674,0.00006345,0.00003654,,,1.583113,1.15066,1.59928,1.21,
Lake Alice,1,3,7.49,263.6,5.51,17-Oct,18-Jun,0.003,1,1,0.009,0.004,0.003,0.001,0.008,0.003,0.002,89,,0.01433,0.01288,98,,,0.26574,0.00004299,0.00003864,,,1.583113,1.30492,1.59928,1.35,
Lake Alice,2,1,7.75,226,4.99,24-Oct,4-Sep,0.003,1,1,0.002,0.002,0.003,0.002,0,0,0.001,-1,,-0.00266,0.02452,18,,,-0.0024,-0.00000798,0.00007356,,,,,,,
Lake Alice,2,2,7.75,226,4.99,24-Oct,4-Sep,0.003,1,1,0.007,0.008,0.007,0.006,0.001,0.002,0.001,8,,0.03397,0.00765,65,,,0.02391,0.00010191,0.00002295,,,,,,,
Lake Alice,2,3,7.75,226,4.99,24-Oct,4-Sep,0.003,1,1,0.003,0.003,0.003,0.002,0.001,0.001,0.001,10,,0.01294,0.01525,29,,,0.02853,0.00003882,0.00004575,,,,,,,
Lake Alice,2,1,7.27,84.1,7.19,24-Oct,9-Sep,0.003,1,1,0.003,0.002,0.002,0.002,0.001,0,0,12,,-0.00543,-0.00167,31,,,0.03555,-0.00001629,-0.00000501,,,,,,,
Lake Alice,2,2,7.27,84.1,7.19,24-Oct,9-Sep,0.003,1,1,0.006,0.005,0.003,0.003,0.003,0.002,0,32,,0.02577,-0.02021,61,,,0.09741,0.00007731,-0.00006063,,,,,,,
Lake Alice,2,3,7.27,84.1,7.19,24-Oct,9-Sep,0.003,1,1,0.002,0.001,0.002,0.001,0.001,0,0.001,11,,-0.00809,0.02285,21,,,0.03315,-0.00002427,0.00006855,,,,,,,
Lake Alice,2,1,7.98,162.9,8.16,24-Oct,18-Sep,0.003,1,1,0.004,0.002,0.005,0.006,-0.002,-0.004,-0.001,-17,,-0.0706,0.00922,40,,,-0.05022,-0.0002118,0.00002766,,,,,,,
Lake Alice,2,2,7.98,162.9,8.16,24-Oct,18-Sep,0.003,1,1,0.004,0.007,0.006,0.003,0.001,0.004,0.003,3,,0.07071,0.04149,32,,,0.00987,0.00021213,0.00012447,,,,,,,
Lake Alice,2,3,7.98,162.9,8.16,24-Oct,18-Sep,0.003,1,1,0.005,0.006,0.007,0.007,-0.002,-0.001,0,-22,,-0.01017,0.01094,44,,,-0.06648,-0.00003051,0.00003282,,,,,,,
J1,2,1,6.63,136.3,7.97,31-Oct,8-Sep,0.0025,1,1,0.009,0.009,0.006,0.002,0.007,0.007,0.004,69,,0.09856,0.03319,88,,,0.172425,0.0002464,0.000082975,,,,,,,
J1,2,2,6.63,136.3,7.97,31-Oct,8-Sep,0.0025,1,1,0.01,0.009,0.009,0.006,0.004,0.003,0.003,40,,0.03339,0.04408,97,,,0.10095,0.000083475,0.0001102,,,,,,,
J1,2,3,6.63,136.3,7.97,31-Oct,8-Sep,0.0025,1,1,0.004,0.002,0.002,0.001,0.003,0.001,0.001,33,,0.00208,0.01191,43,,,0.083025,0.0000052,0.000029775,,,,,,,
J2,2,1,9.07,81.4,12.74,31-Oct,15-Sep,0.0025,1,1,0.016,0.016,0.016,0.010,0.006,0.006,0.006,57,,0.07764,0.0915,152,,,0.14265,0.0001941,0.00022875,,,,,,,
J2,2,2,9.07,81.4,12.74,31-Oct,15-Sep,0.0025,1,1,0.016,0.015,0.014,0.009,0.007,0.006,0.005,70,,0.07487,0.06531,155,,,0.174275,0.00018718,0.00016328,,,,,,,
J2,2,3,9.07,81.4,12.74,31-Oct,15-Sep,0.0025,1,1,0.008,0.007,0.007,0.002,0.006,0.005,0.005,59,,0.05927,0.07458,78,,,0.1485,0.00014818,0.00018645,,,,,,,
J3,2,1,7.47,155.8,5.24,31-Oct,8-Sep,0.0025,1,1,0.008,0.008,0.008,0.006,0.002,0.002,0.002,19,,0.02588,0.0305,76,,,0.04755,0.0000647,0.00007625,,,,,,,
J3,2,2,7.47,155.8,5.24,31-Oct,8-Sep,0.0025,1,1,0.008,0.008,0.008,0.005,0.003,0.003,0.003,29,,0.03882,0.04575,76,,,0.071325,0.00009705,0.00011438,,,,,,,
J3,2,3,7.47,155.8,5.24,31-Oct,8-Sep,0.0025,1,1,0.008,0.007,0.007,0.005,0.003,0.002,0.002,31,,0.02045,0.02883,78,,,0.077175,0.000051125,0.000072075,,,,,,,
J1,1,1,12.09,185.7,7.88,7-Nov,20-Oct,0.003,1,1,0.033,0.02,0.009,0.002,0.031,0.018,0.007,334,,0.19159,-0.01693,353,,,1.00209,0.00057477,-0.00005079,,,,,,,
J1,1,2,12.09,185.7,7.88,7-Nov,20-Oct,0.003,1,1,0.035,0.021,0.01,0.003,0.032,0.018,0.007,346,,0.18616,-0.0186,374,,,1.03764,0.00055848,-0.0000558,,,,,,,
J1,1,3,12.09,185.7,7.88,7-Nov,20-Oct,0.003,1,1,0.039,0.024,0.012,0.005,0.034,0.019,0.007,368,,0.19633,-0.02954,416,,,1.10412,0.00058899,-0.00008862,,,,,,,
J1,2,1,12.09,185.7,7.88,7-Nov,20-Oct,0.003,1,1,0.003,0.003,0.005,0.001,0.002,0.002,0.004,17,,0.02056,0.07954,27,,,0.05226,0.00006168,0.00023862,,,,,,,
J1,2,2,12.09,185.7,7.88,7-Nov,20-Oct,0.003,1,1,0.006,0.006,0.008,0.005,0.001,0.001,0.003,8,,0.00762,0.06429,55,,,0.02373,0.00002286,0.00019287,,,,,,,
J1,2,3,12.09,185.7,7.88,7-Nov,20-Oct,0.003,1,1,0.005,0.006,0.007,0.003,0.002,0.003,0.004,16,,0.04159,0.07194,44,,,0.04764,0.00012477,0.00021582,,,,,,,
J3,1,1,9.93,48.6,14.56,7-Nov,20-Oct,0.003,1,1,0.084,0.039,0.031,0.015,0.069,0.024,0.016,768,,0.08749,0.09469,911,,,2.30367,0.00026247,0.00028407,,,,,,,
J3,1,2,9.93,48.6,14.56,7-Nov,20-Oct,0.003,1,1,0.048,0.018,0.012,0.004,0.044,0.014,0.008,493,,0.03422,0.01628,531,,,1.48032,0.00010266,0.00004884,,,,,,,
J3,1,3,9.93,48.6,14.56,7-Nov,20-Oct,0.003,1,1,0.058,0.021,0.015,0.005,0.053,0.016,0.01,595,,0.02209,0.03509,643,,,1.78623,0.00006627,0.00010527,,,,,,,
J3,1,1,7.76,101.2,9.92,15-Nov,10/13/24,0.003,1,1,0.058,0.024,0.018,0.008,0.05,0.016,0.01,560,,0.03838,0.0401,636,,,1.67958,0.00011514,0.0001203,,,,,,,
J3,1,2,7.76,101.2,9.92,15-Nov,10/13/24,0.003,1,1,0.055,0.023,0.018,0.009,0.046,0.014,0.009,516,,0.0207,0.03746,602,,,1.54902,0.0000621,0.00011238,,,,,,,
J3,1,3,7.76,101.2,9.92,15-Nov,10/13/24,0.003,1,1,0.06,0.023,0.017,0.005,0.055,0.018,0.012,614,,0.04797,0.06559,662,,,1.84329,0.00014391,0.00019677,,,,,,,
Lake Alice,2,1,7.00,142.6,9.39,15-Nov,10/16/24,0.003,1,1,0.003,0.003,0.005,0.003,0,0,0.002,-2,,-0.00532,0.04904,27,,,-0.0048,-0.00001596,0.00014712,,,,,,,
Lake Alice,2,2,7.00,142.6,9.39,15-Nov,10/16/24,0.003,1,1,0.003,0.002,0.003,0.002,0.001,0,0.001,11,,-0.00809,0.02285,30,,,0.03315,-0.00002427,0.00006855,,,,,,,
Lake Alice,2,3,7.00,142.6,9.39,15-Nov,10/16/24,0.003,1,1,0.004,0.004,0.005,0.003,0.001,0.001,0.002,9,,0.01028,0.03977,37,,,0.02613,0.00003084,0.00011931,,,,,,,
Lake Alice,1,1,7.00,142.6,9.39,15-Nov,10/16/24,0.003,1,1,0.008,0.005,0.005,0.002,0.006,0.003,0.003,64,,0.02253,0.04074,83,,,0.19224,0.00006759,0.00012222,,,,,,,
Lake Alice,1,2,7.00,142.6,9.39,15-Nov,10/16/24,0.003,1,1,0.016,0.014,0.015,0.010,0.006,0.004,0.005,61,,0.03824,0.08218,156,,,0.18282,0.00011472,0.00024654,,,,,,,